DATE,GDP Growth QoQ,LagGDP,Building permits ,Total Industry capacity utilization,Unemployment rate,New Res Const,Industrial Production,Total Business inventories,New manufacturing orders,New residential sales,Advance Retail Sales,Real Personal Consumption Expenditures,Real Disposable Personal Income,Nonfarm Private Payroll Employment,Empire State Manufacturing Survey,Manufacturing Business Outlook Survey
2004-04-01,3.0,2.3,0.02549,-53.2,-0.1,0.02042,0.00173,0.00772,0.02202,0.00776,0.00587,0.00197,0.00172,0.00243,-34.6574,-27.4584
2004-07-01,3.7,3.0,0.00872,-54.2,-0.1,-0.00022,0.00214,0.00945,0.00419,-0.03746,0.00655,0.00326,0.00373,0.00234,-22.2868,-26.6938
2004-10-01,3.5,3.7,-0.00310,-56.8,0.0,0.01493,0.00495,0.00797,-0.00229,0.07898,0.01046,0.00513,0.00304,0.00226,-17.5187,-20.4332
2005-01-01,4.3,3.5,0.00861,-59.4,-0.2,0.01484,0.00598,0.00823,0.01918,-0.03534,0.00492,0.00338,0.01500,0.00178,-14.3122,-15.3584
2005-04-01,2.1,4.3,0.00223,-60.2,-0.1,-0.01715,0.00219,0.00966,0.00219,0.02010,0.01014,0.00546,-0.01535,0.00250,-1.4420,-15.1793
2005-07-01,3.4,2.1,0.01058,-61.0,-0.2,-0.00148,0.00254,0.00129,0.00487,0.04233,0.01102,0.00461,0.00543,0.00202,-21.0950,-8.2766
2005-10-01,2.3,3.4,-0.00655,-59.4,0.0,0.00232,-0.00182,0.00187,0.03104,-0.01690,-0.00313,-0.00212,-0.00124,0.00184,-13.1457,-6.7888
2006-01-01,4.9,2.3,0.00833,-62.7,-0.3,0.04168,0.00773,0.01001,-0.01180,-0.05614,0.01724,0.00530,0.00643,0.00222,-16.8414,-9.1539
2006-04-01,1.2,4.9,-0.04419,-63.0,0.0,-0.09629,0.00227,0.00845,0.02156,-0.01929,0.00004,0.00318,0.00733,0.00221,-16.2471,-12.2406
2006-07-01,0.4,1.2,-0.05434,-63.3,0.0,-0.02051,0.00236,0.00986,-0.01171,-0.06585,0.00059,0.00299,0.00344,0.00134,-12.5154,-7.0510
2006-10-01,3.2,0.4,-0.05035,-61.9,-0.3,-0.06632,-0.00111,0.00555,0.00412,-0.01094,-0.00055,0.00331,0.00241,0.00105,-18.3251,-3.2152
2007-01-01,0.2,3.2,0.01522,-61.0,0.2,-0.02457,0.00044,0.00322,0.00196,-0.02371,0.00637,0.00450,0.00534,0.00181,-13.8218,-4.7821
2007-04-01,3.1,0.2,-0.04380,-62.1,-0.1,0.02428,0.00438,0.00282,0.02417,-0.00195,0.00289,0.00159,0.00137,0.00145,-5.9766,-2.9543
2007-07-01,2.7,3.1,-0.03346,-62.1,0.1,-0.04157,0.00190,0.00391,0.00110,-0.05694,0.00244,0.00100,-0.00008,0.00062,-21.9997,-2.6065
2007-10-01,1.4,2.7,-0.05758,-60.8,0.1,-0.02987,-0.00047,0.00369,-0.01772,-0.02945,0.00724,0.00202,0.00240,-0.00016,-22.9184,-6.7014
2008-01-01,-2.7,1.4,-0.03409,-61.6,0.3,-0.06712,0.00357,0.00662,0.00700,-0.07763,0.00274,0.00019,-0.00126,0.00083,0.3648,16.9767
2008-04-01,2.0,-2.7,-0.04611,-58.1,0.0,-0.03419,-0.00520,0.00848,-0.00640,-0.05718,-0.00029,0.00026,-0.00318,-0.00089,3.0500,16.4360
2008-07-01,-1.9,2.0,-0.03040,-56.5,0.8,-0.03055,-0.00245,0.00614,-0.00440,-0.02776,-0.00221,-0.00368,0.01077,-0.00214,2.2762,14.9108
2008-10-01,-8.2,-1.9,-0.10294,-48.6,0.8,-0.08736,-0.01690,0.00305,-0.05728,-0.08725,-0.02308,-0.00346,-0.01038,-0.00458,21.5652,35.5638
2009-01-01,-5.4,-8.2,-0.13763,-39.1,1.1,-0.19410,-0.02547,-0.01593,-0.06764,-0.09453,-0.01587,0.00001,0.00706,-0.00795,27.7270,31.8411
2009-04-01,-0.5,-5.4,-0.02787,-35.2,1.2,-0.00808,-0.01268,-0.01614,0.00126,0.02062,-0.00469,-0.00141,-0.00382,-0.00797,11.0292,20.9845
2009-07-01,1.3,-0.5,0.05405,-35.2,0.5,0.09272,-0.00128,-0.01741,0.02437,0.08439,0.00529,0.00170,0.00637,-0.00483,-5.9941,-1.0424
2009-10-01,3.9,1.3,-0.01013,-38.7,0.7,-0.05372,0.00868,-0.01326,-0.00286,-0.02015,0.00648,0.00227,0.00096,-0.00264,-25.9521,-12.9502
2010-01-01,1.7,3.9,0.05264,-42.3,-0.4,0.05226,0.00932,0.00234,0.01933,-0.11210,0.01005,0.00252,0.00304,-0.00145,-15.8517,-11.7095
2010-04-01,3.9,1.7,-0.00846,-44.8,0.2,0.05578,0.00519,0.01123,0.04266,0.21247,0.01278,0.00451,-0.00101,0.00041,-20.0940,-16.9767
2010-07-01,2.7,3.9,-0.03792,-47.3,-0.4,-0.09018,-0.03938,0.00475,-0.00195,-0.26152,-0.00443,-0.00658,0.00661,0.00053,-7.3046,-5.2178
2010-10-01,2.5,2.7,-0.00547,-47.3,0.1,-0.02203,-0.00012,0.01353,0.00676,0.01088,0.01230,0.00513,0.00173,0.00059,-2.9543,-9.3296
2011-01-01,-1.5,2.5,0.00857,-50.3,-0.6,0.06008,0.00815,0.00994,0.00986,0.00153,0.00974,0.00349,0.00146,0.00215,-9.1100,-19.7005
2011-04-01,2.9,-1.5,0.00000,-52.2,0.0,-0.05674,-0.00945,0.01233,-0.02373,0.05588,0.00878,0.00170,-0.00050,0.00330,-12.6751,-8.5396
2011-07-01,0.8,2.9,0.02837,-53.7,0.1,0.06254,0.00490,0.01213,0.02568,-0.03499,0.00119,-0.00572,-0.00473,0.00116,3.6154,4.8692
2011-10-01,4.6,0.8,0.03604,-54.5,-0.1,0.01692,0.00258,0.00398,-0.00821,0.02133,0.00798,0.00527,-0.00343,0.00121,0.8599,-5.6538
2012-01-01,2.3,4.6,0.01503,-56.5,-0.7,0.04652,0.00543,0.00647,0.03509,0.01096,0.00406,-0.00039,0.00145,0.00286,-12.2406,-6.4393
2012-04-01,1.6,2.3,0.02919,-58.1,-0.2,0.01104,0.00678,0.00684,0.00246,0.02879,0.00712,0.00417,0.00371,0.00316,-9.4966,-2.2588
2012-07-01,2.5,1.6,0.04988,-58.3,0.2,0.01722,0.00278,0.00004,0.02921,0.03525,-0.00440,0.00227,0.00441,0.00181,-1.2074,5.5666
2012-10-01,0.1,2.5,0.02950,-54.5,-0.4,0.07860,-0.00648,0.00886,-0.02635,-0.00470,0.00816,-0.00039,-0.00388,0.00220,2.9196,3.4762
2013-01-01,2.7,0.1,0.02762,-57.8,0.0,-0.00195,0.00905,0.00274,0.02534,0.00118,0.00529,0.00423,0.01777,0.00218,0.2953,5.5666
2013-04-01,1.8,2.7,0.03602,-54.5,-0.4,-0.01844,0.00054,0.00472,-0.01426,0.09003,0.00206,0.00339,-0.01438,0.00412,-1.1900,-0.2606
2013-07-01,4.5,1.8,-0.02262,-54.0,-0.1,0.02136,0.00089,0.00379,0.00786,-0.06156,0.00604,0.03933,0.04965,0.00217,-7.4796,-11.9750
2013-10-01,3.5,4.5,0.03707,-55.2,-0.1,-0.00635,0.00450,0.00622,0.00691,0.02879,0.00369,0.00161,0.00480,0.00145,-1.7722,-9.9451
2014-01-01,-2.1,3.5,-0.04118,-56.2,-0.7,-0.00148,0.00453,0.00737,-0.01007,0.04596,-0.00027,0.00476,-0.00048,0.00306,-7.4009,-3.4762
2014-04-01,4.6,-2.1,0.04946,-56.5,-0.3,0.08571,0.00733,0.00237,0.02798,-0.03376,0.00679,0.00375,0.00428,0.00496,-8.8466,-15.0897
2014-07-01,3.5,4.6,-0.00082,-58.1,-0.1,0.00843,0.00690,0.00650,0.09718,-0.02159,0.00520,-0.00220,0.00520,0.00255,-17.7449,-21.4452
2014-10-01,2.6,3.5,0.01415,-57.3,-0.4,-0.03473,0.00195,0.00323,-0.09025,0.04597,0.00461,0.00404,0.00115,0.00234,-7.1122,-26.5032
2015-01-01,0.2,2.6,-0.01292,-58.6,-0.1,0.02346,0.00548,0.00205,-0.01386,0.02128,-0.00464,0.00483,0.00459,0.00273,-7.7247,-5.0435
2015-04-01,2.3,0.2,0.03160,-55.5,-0.3,0.02765,-0.00415,0.00534,-0.00114,0.03135,-0.00297,0.00238,0.00456,0.00310,-0.8252,-6.1774
2015-07-01,1.5,2.3,-0.00383,-55.0,-0.1,0.02635,0.00939,0.00634,0.01017,-0.00848,0.00954,0.00073,-0.00147,0.00226,4.8082,-6.0901
2015-10-01,0.7,1.5,0.00762,-53.7,-0.3,-0.05604,-0.00107,0.00121,-0.00386,-0.01040,0.00076,0.00312,0.00626,0.00195,9.6373,1.1292
2016-01-01,0.5,0.7,0.01993,-52.7,-0.1,0.01569,-0.00148,-0.00105,-0.00275,-0.00088,0.00256,0.00361,0.00175,0.00242,15.8158,2.7804
2016-04-01,1.2,0.5,-0.02755,-48.6,0.1,0.02793,-0.01112,0.00130,-0.00279,0.09796,0.00340,0.00039,0.00133,0.00206,-0.2345,1.4767
2016-07-01,2.9,1.2,0.00535,-49.8,-0.1,0.01422,0.00319,-0.00117,-0.01315,0.02389,0.00409,0.00444,0.00411,0.00191,1.5897,0.4343
2016-10-01,1.9,2.9,0.04194,-48.4,0.0,0.03842,-0.00268,0.00121,0.01941,-0.06507,0.00770,0.00162,0.00320,0.00160,2.3458,-7.5759
2017-01-01,0.7,1.9,0.00853,-48.4,-0.1,-0.02604,0.00119,0.00404,-0.02283,-0.00622,0.00577,0.00430,0.00331,0.00210,-11.0027,-30.2660
2017-04-01,2.6,0.7,-0.01970,-51.7,-0.4,-0.02659,0.00236,0.00120,0.00770,0.01082,0.00257,0.00086,0.00308,0.00258,-1.8243,-27.2668
2017-07-01,3.0,2.6,0.00071,-51.7,-0.1,-0.00635,0.00145,0.00666,-0.00379,0.00152,0.00357,0.00569,-0.00299,0.00200,-15.3584,-16.8865
2017-10-01,2.6,3.0,0.02303,-52.5,-0.2,0.04801,0.00275,0.00449,0.01278,0.06749,0.00691,0.00438,0.00007,0.00207,-21.9997,-22.4630
2018-01-01,2.3,2.6,0.03195,-53.8,0.0,0.01195,0.00446,0.00310,0.02384,-0.02825,0.00484,0.00367,0.00144,0.00232,-13.4835,-21.2608
2018-04-01,4.1,2.3,-0.01007,-54.9,-0.2,-0.01296,0.00025,0.00621,-0.00144,0.02498,0.00449,0.00081,0.00397,0.00122,-15.8068,-25.7436
2018-07-01,3.5,4.1,-0.01987,-55.1,0.0,-0.04214,0.00280,0.00171,-0.00288,-0.02359,0.00901,0.02828,0.04503,0.00183,-21.3530,-16.5260
2018-10-01,2.6,3.5,-0.01285,-56.0,-0.2,0.02176,0.00427,0.00673,0.00292,-0.06167,0.00337,0.00426,0.00189,0.00204,-19.6092,-15.4480
2019-01-01,3.2,2.6,0.02111,-55.5,0.3,0.00979,0.00151,0.00287,0.01023,0.08197,-0.00483,0.00162,0.00077,0.00213,-5.5666,-5.6538
2019-04-01,2.1,3.2,-0.01261,-54.8,-0.4,-0.00732,-0.00104,0.00817,-0.01045,0.01045,0.00642,0.00206,0.00343,0.00277,-12.2406,-11.0027
2019-07-01,1.9,2.1,0.00900,-53.7,0.1,-0.01576,-0.00002,0.00377,0.00346,-0.02524,0.00851,0.00661,0.01306,0.00101,-3.9548,-16.9767
2019-10-01,2.1,1.9,0.04506,-51.8,-0.1,0.04268,-0.00201,0.00124,-0.00284,0.06233,0.00250,0.00127,0.00134,0.00121,-2.9978,-6.9636
2020-01-01,-4.8,2.1,0.02568,-51.9,0.0,0.07647,0.00212,-0.00032,-0.00447,0.01799,0.00265,0.00187,0.00255,0.00224,-7.7072,-23.9544
2020-04-01,-32.9,-4.8,-0.16257,-26.7,11.1,-0.24519,-0.07166,-0.00590,-0.16092,-0.08861,-0.11776,-0.09019,0.04904,-0.07647,64.9045,47.5964
2020-07-01,33.1,-32.9,0.14338,-38.0,-4.5,0.22505,0.03415,-0.02223,0.13263,0.16024,0.12283,0.06813,-0.02300,0.03258,-9.1100,-18.2434
2020-10-01,4,33.1,0.01751,-42.7,-3.3,0.00976,0.01298,0.00469,0.01861,0.04484,0.01383,0.01110,-0.01117,0.00667,-7.3134,-26.2179
2021-01-01,6.4,4,0.08689,-46.7,-0.6,0.01397,0.01643,0.00865,0.02762,-0.03436,0.01153,0.00193,0.03702,0.00160,-6.7888,-21.9997
2021-01-01,6.4,4,0.08689,-46.7,-0.6,0.01397,0.01643,0.00865,0.02762,-0.03436,0.01153,0.00193,0.03702,0.00160,-6.7888,-21.9997
